git add raw/*.csv
Table FLE0100b: UK Ship Register monthly data for ships joining and leaving UK Ship Register: January 2015 to February 2026,,,,,,,
"This worksheet contains one table. Notes are used throughout, use the notes tab to find the related note text.",,,,,,,
Number of vessels are in absolute numbers and gross tonnage,,,,,,,
MCA refers to the Maritime and Coastguard Agency UK Ship Register [note 1].,,,,,,,
Year ,Month,Metric [note 6],Flagged in,Flagged out,Total [note 5],,
2015,January,MCA all merchant (trading) vessels, 4 ,6," 1,323 ",,
2015,Februrary,MCA all merchant (trading) vessels, 6 ,4," 1,323 ",,
2015,March ,MCA all merchant (trading) vessels, 6 ,5," 1,325 ",,
2015,April,MCA all merchant (trading) vessels, 9 ,13," 1,323 ",,
2015,May ,MCA all merchant (trading) vessels, 10 ,3," 1,323 ",,
2015,June,MCA all merchant (trading) vessels, 7 ,7," 1,321 ",,
2015,July,MCA all merchant (trading) vessels, 9 ,3," 1,327 ",,
2015,August,MCA all merchant (trading) vessels, 5 ,3," 1,328 ",,
2015,September,MCA all merchant (trading) vessels, 6 ,3," 1,333 ",,
2015,October,MCA all merchant (trading) vessels, 3 ,4," 1,330 ",,
2015,November,MCA all merchant (trading) vessels, 10 ,4," 1,332 ",,
2015,December,MCA all merchant (trading) vessels, 9 ,10," 1,330 ",,
2016,January,MCA all merchant (trading) vessels, 3 ,2," 1,329 ",,
2016,Februrary,MCA all merchant (trading) vessels, 3 ,2," 1,329 ",,
2016,March ,MCA all merchant (trading) vessels, 6 ,7," 1,323 ",,
2016,April,MCA all merchant (trading) vessels, 5 ,3," 1,324 ",,
2016,May ,MCA all merchant (trading) vessels, 3 ,4," 1,322 ",,
2016,June,MCA all merchant (trading) vessels, 10 ,5," 1,329 ",,
2016,July,MCA all merchant (trading) vessels, 8 ,3," 1,332 ",,
2016,August,MCA all merchant (trading) vessels, 6 ,9," 1,330 ",,
2016,September,MCA all merchant (trading) vessels, 5 ,3," 1,331 ",,
2016,October,MCA all merchant (trading) vessels, 9 ,3," 1,337 ",,
2016,November,MCA all merchant (trading) vessels, 2 ,10," 1,331 ",,
2016,December,MCA all merchant (trading) vessels, 2 ,2," 1,328 ",,
2017,January,MCA all merchant (trading) vessels, 2 ,4," 1,324 ",,
2017,Februrary,MCA all merchant (trading) vessels, 6 ,4," 1,325 ",,
2017,March ,MCA all merchant (trading) vessels, 9 ,2," 1,331 ",,
2017,April,MCA all merchant (trading) vessels, 8 ,6," 1,341 ",,
2017,May ,MCA all merchant (trading) vessels, 8 ,7," 1,336 ",,
2017,June,MCA all merchant (trading) vessels, 11 ,3," 1,300 ",,
2017,July,MCA all merchant (trading) vessels, 9 ,2," 1,310 ",,
2017,August,MCA all merchant (trading) vessels, 11 ,2," 1,319 ",,
2017,September,MCA all merchant (trading) vessels, 5 ,1," 1,321 ",,
2017,October,MCA all merchant (trading) vessels, 5 ,5," 1,321 ",,
2017,November,MCA all merchant (trading) vessels, 3 ,5," 1,317 ",,
2017,December,MCA all merchant (trading) vessels, 3 ,3," 1,317 ",,
2018,January,MCA all merchant (trading) vessels, 8 ,7," 1,319 ",,
2018,Februrary,MCA all merchant (trading) vessels, 5 ,3," 1,320 ",,
2018,March ,MCA all merchant (trading) vessels, 5 ,10," 1,315 ",,
2018,April,MCA all merchant (trading) vessels, 6 ,8," 1,312 ",,
2018,May ,MCA all merchant (trading) vessels, 11 ,7," 1,315 ",,
2018,June,MCA all merchant (trading) vessels, 7 ,3," 1,317 ",,
2018,July,MCA all merchant (trading) vessels, 8 ,5," 1,321 ",,
2018,August,MCA all merchant (trading) vessels, 9 ,7," 1,320 ",,
2018,September,MCA all merchant (trading) vessels, 4 ,7," 1,317 ",,
2018,October,MCA all merchant (trading) vessels, 4 ,9," 1,311 ",,
2018,November,MCA all merchant (trading) vessels, 4 ,9," 1,306 ",,
2018,December,MCA all merchant (trading) vessels, 3 ,3," 1,306 ",,
2019,January,MCA all merchant (trading) vessels,3,9," 1,299 ",,
2019,Februrary,MCA all merchant (trading) vessels,7,7," 1,299 ",,
2019,March ,MCA all merchant (trading) vessels,5,66," 1,238 ",,
2019,April,MCA all merchant (trading) vessels,5,14," 1,229 ",,
2019,May ,MCA all merchant (trading) vessels,6,6," 1,229 ",,
2019,June,MCA all merchant (trading) vessels,6,3," 1,231 ",,
2019,July,MCA all merchant (trading) vessels,5,9," 1,231 ",,
2019,August,MCA all merchant (trading) vessels,5,8," 1,229 ",,
2019,September,MCA all merchant (trading) vessels,2,7," 1,224 ",,
2019,October,MCA all merchant (trading) vessels,5,19," 1,209 ",,
2019,November,MCA all merchant (trading) vessels,8,39," 1,178 ",,
2019,December,MCA all merchant (trading) vessels,7,9," 1,177 ",,
2020,January,MCA all merchant (trading) vessels,4,5," 1,174 ",,
2020,Februrary,MCA all merchant (trading) vessels,3,8," 1,169 ",,
2020,March ,MCA all merchant (trading) vessels,6,7," 1,168 ",,
2020,April,MCA all merchant (trading) vessels,0,1," 1,167 ",,
2020,May ,MCA all merchant (trading) vessels,1,4," 1,163 ",,
2020,June,MCA all merchant (trading) vessels,6,7," 1,163 ",,
2020,July,MCA all merchant (trading) vessels,4,8," 1,159 ",,
2020,August,MCA all merchant (trading) vessels,2,19," 1,142 ",,
2020,September,MCA all merchant (trading) vessels,10,8," 1,143 ",,
2020,October,MCA all merchant (trading) vessels,5,5," 1,144 ",,
2020,November,MCA all merchant (trading) vessels,5,10," 1,137 ",,
2020,December,MCA all merchant (trading) vessels,4,7," 1,134 ",,
2021,January,MCA all merchant (trading) vessels, 11 , 4 ," 1,141 ",,
2021,Februrary,MCA all merchant (trading) vessels,4,16," 1,129 ",,
2021,March ,MCA all merchant (trading) vessels,5,8," 1,126 ",,
2021,April,MCA all merchant (trading) vessels,1,6," 1,121 ",,
2021,May ,MCA all merchant (trading) vessels,3,16," 1,105 ",,
2021,June,MCA all merchant (trading) vessels,2,11," 1,102 ",,
